Argentina,Viajaba en un auto con bandera celeste y blanca,Dijo que le interesaba la cultura gauchesca,Estudiaba asociarse con politicos dueños de importantes cuentas offshore,Queria conocer la avenida mas ancha del mundo
Brasil,Ensayaba palabras en portugues,Hablo de conocer o pais mais grande do mundo,Llevaba una mochila verde y amarilla,Pregunto donde comprar una zunga,Queria navegar el Rio amazonas
Peru,Salio en un vehiculo con una bandera roja y blanca,Ensayaba palabras en español,Queria visitar Machu Pichu,Hablo de conocer el desierto de Sechura,Queria ver un partido del Sporting Cristal
Colombia,Queria conocer los valles de Magalena,Su auto tenia una bandera amarilla, azul y roja,Hablo de tomar sol en Cartagena de Indias,Llevaba un pin con un escudo con un aguila encima,Pensaba ir de compras en Bogota
Mexico,Queria probar chile picante,Llegaba al aeropuerto Benito Juarez, Hablo de tomar sol en las playas de Acapulco,Estaba interesado en la cultura Olmeca,Queria llegar para festejar el 5 de mayo
Canada,Su transporte tenia una bandera con una hoja de arce,Estaba interesado en el choque cultural franco anglosajon,Queria ir de compras en Quebec,Hablo de fotografiar las cataratas del Niagara,Queria hacer alpinismo en las montañas rocosas
Kenia,Su transporte tenia una bandera negra roja y verde,Su boarding pass decia Aeropuerto de Kisumu,Ansiaba comprar frutas en en mercado de mombasa,Queria hacer turismo de safari,Estuvo practicando el Suajili
Camerun,Su transporte tenia una bandera con una estrella,Queria visitar las playas de kribi,Pregunto donde cambiar dinero a Francos,Su aeropuerto de destino era Duala,Tenia interes en las costumbres bamilekes y bamun
Egipto,Su transporte tenia una bandera con un aguila,Estaba interesadx en culturas precristianas,Queria ver cocodrilos en su habitat natural,Ansiaba conocer Abu Simbel,Compro mucha ropa para protegerse en el desierto
Argelia,Su vehiculo tenia una bandera con una luna,Insistio en aprender algo de arabe,Cambio algunos dolares que tenia por dinares,Deseaba aprender sobre la cultura berebere,Se intereso por la religion sunnita
Alemania,Queria visitar un pais poderoso,Su vehiculo tenia un escudo con una gran aguila,Queria conocer el checkpoint charlie,Dudaba si llegaba a Tegel o schonefeld,Ansiaba por probar un strudel
Espana,Queria bailar flamenco,Esperaba llegar a ver una opera con Motserrat Caballe,Su vehiculo tenia una bandera amarilla y roja,Se intereso por los sistemas monarquicos antiguos,Deseaba husmear en el museo del prado
Francia,Queria escuchar la marsellesa,Su vehiculo tenia una bandera azul blanca y roja,Repitio: Libertad, igualdad, fraternidad una y otra vez,Queria ver la torre eifell y el Sena,Su destino era Charles de Gaulle
Inglaterra,Estaba obsesionado por las joyas de la reina,Queria aprender sobre el brexit,Interesado en el choque anglo y sajon,Hablo de tomar el te exactamente a las 5,Quiso escuchar a los beatles todo el tiempo
Holanda,Estaba obsesionado con oler tulipanes,Queria pasar una tarde en un famoso coffe shop,Se compro un casco para bicicleta,Su vehiculo tenia una bandera Roja blanca y azul,Queria aprender algunas palabras en neerlandes
China,Estaba interesado en la etnia han,Queria aprender sobre el origen del Taoismo,Estaba intrigadx por la Ciudad Prohibida,Pregunto por los peligros del comunismo,Su vehiculo tenia una bandera con cinco estrellas
Japon,Partia hacia el aeropuerto de narita,Estaba interesado en las monarquias parlamentarias,Su transporte tenia una bandera con un circulo rojo,Queria escalar el monte fuji,Interesado en el sincretismo religioso
India,Queria conocer al jefe de los minisuper,Su vehiculo tenia una bandera naranja blanca y verde,Quiso conseguir algunas rupias,Queria leer la constitucion mas larga del mundo,Le interesaba la vida de la madre teresa
Australia,Queria ver canguros y koalas,Habia visto Cocodrilo Dundee diez veces,Menciono que viajaria a un pais que era una gran isla,Tenia cds de inxs y acdc,Queria ir a un partido de los all blacks
Iran,Queria ir al pais que todos odian menos cuando les conviene,Hablo de invertir en pozos petroleros,Cambio dolares por riales,Su vehiculo tenia una bandera roja verde y blanca,Pregunto como se decia bomba en persa
